"filename", "language", "C#", "JSON", "XML", "HTTP", "MSBuild", "HTML", "TypeScript", "JSON with Comments", "PostCSS", "Markdown", "JavaScript", "comment", "blank", "total"
"d:\Projects\IDo\src\IDo.Web\ClientApp\src\app\core\projects.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 0, 23, 151
"d:\Projects\IDo\src\IDo.Web\ClientApp\src\app\core\task-requests.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 5, 22
"d:\Projects\IDo\src\IDo.Web\ClientApp\src\app\core\tasks.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 10, 68
"d:\Projects\IDo\src\IDo.Web\ClientApp\src\app\core\today.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 11, 113
"d:\Projects\IDo\src\IDo.Web\ClientApp\src\app\features\auth\auth.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 147, 0, 0, 0, 0, 0, 11, 158
"d:\Projects\IDo\src\IDo.Web\ClientApp\src\app\features\habits\habits.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 464, 0, 0, 0, 0, 0, 27, 491
"d:\Projects\IDo\src\IDo.Web\ClientApp\src\app\features\inbox\inbox.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 153, 0, 0, 0, 0, 0, 15, 168
"d:\Projects\IDo\src\IDo.Web\ClientApp\src\app\features\progress\progress.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 828, 0, 0, 0, 0, 0, 52, 880
"d:\Projects\IDo\src\IDo.Web\ClientApp\src\app\features\projects\project-details.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 560, 0, 0, 0, 0, 0, 42, 602
"d:\Projects\IDo\src\IDo.Web\ClientApp\src\app\features\projects\projects.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 411, 0, 0, 0, 0, 0, 38, 449
"d:\Projects\IDo\src\IDo.Web\ClientApp\src\app\features\tasks\tasks.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 13, 142
"d:\Projects\IDo\src\IDo.Web\ClientApp\src\app\features\today\task-details.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 515, 0, 0, 0, 0, 0, 37, 552
"d:\Projects\IDo\src\IDo.Web\ClientApp\src\app\features\today\today.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 312, 0, 0, 0, 0, 0, 14, 326
"d:\Projects\IDo\src\IDo.Web\ClientApp\src\app\shared\bottom-nav\bottom-nav.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 2, 54
